MS SubClass,Overall Qual,Year Built,Year Remod/Add,BsmtFin Type 1,Total Bsmt SF,1st Flr SF,Gr Liv Area,Full Bath,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,SalePrice,SaleDate,House Age,Remodel Age,Age Bucket,Total SF,Total SF Plus Garage,Total Baths,Price per SF,Qual x SF,Season Sold,Exter Qual_Ord,Bsmt Qual_Ord,Heating QC_Ord,Kitchen Qual_Ord,Fireplace Qu_Ord,Functional_Ord,Neighborhood__BrkSide,Neighborhood__ClearCr,Neighborhood__CollgCr,Neighborhood__Crawfor,Neighborhood__Edwards,Neighborhood__Gilbert,Neighborhood__IDOTRR,Neighborhood__MeadowV,Neighborhood__NAmes,Neighborhood__NWAmes,Neighborhood__NoRidge,Neighborhood__NridgHt,Neighborhood__OldTown,Neighborhood__SWISU,Neighborhood__Sawyer,Neighborhood__Somerst,Neighborhood__StoneBr,Neighborhood__Timber,House Style__2Story,House Style__Other,House Style__SFoyer,Bldg Type__2fmCon,Bldg Type__Duplex,Bldg Type__Twnhs,Bldg Type__TwnhsE,Sale Condition__Normal,Sale Condition__Other,Sale Condition__Partial,Sale Type__New,Sale Type__Other,Sale Type__WD ,Garage Type__BuiltIn,Garage Type__Detchd,Garage Type__Other,Foundation__CBlock,Foundation__PConc,Foundation__Slab,Exterior 1st__CemntBd,Exterior 1st__HdBoard,Exterior 1st__MetalSd,Exterior 1st__VinylSd,Exterior 1st__Wd Sdng,Exterior 1st__WdShing,Exterior 2nd__CmentBd,Exterior 2nd__HdBoard,Exterior 2nd__MetalSd,Exterior 2nd__VinylSd,Exterior 2nd__Wd Sdng,Exterior 2nd__Wd Shng,Roof Style__Hip,MS Zoning__Other,MS Zoning__RL,MS Zoning__RM,Lot Shape__IR2,Lot Shape__Reg,Lot Config__CulDSac,Lot Config__Inside,Condition 1__Feedr,Condition 1__Norm,Condition 1__PosN
20,6,1960,1960,BLQ,1080.0,1656,1656,1,1960.0,Fin,2.0,528.0,215000,2010-05-01,50,50,30-60,2736.0,3264.0,1.0,78.58187134502924,16416.0,Spring,3,3.0,2,3,4.0,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
20,5,1961,1961,Rec,882.0,896,896,1,1961.0,Unf,1.0,730.0,105000,2010-06-01,49,49,30-60,1778.0,2508.0,1.0,59.05511811023622,8890.0,Summer,3,3.0,3,3,0.0,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,False
20,6,1958,1958,ALQ,1329.0,1329,1329,1,1958.0,Unf,1.0,312.0,172000,2010-06-01,52,52,30-60,2658.0,2970.0,1.5,64.71030850263355,15948.0,Summer,3,3.0,3,4,0.0,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False
20,7,1968,1968,ALQ,2110.0,2110,2110,2,1968.0,Fin,2.0,522.0,244000,2010-04-01,42,42,30-60,4220.0,4742.0,2.5,57.81990521327014,29540.0,Spring,4,3.0,5,5,3.0,8,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False
60,5,1997,1998,GLQ,928.0,928,1629,2,1997.0,Fin,2.0,482.0,189900,2010-03-01,13,12,11-30,2557.0,3039.0,2.5,74.26671881110677,12785.0,Spring,3,4.0,4,3,3.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
60,6,1998,1998,GLQ,926.0,926,1604,2,1998.0,Fin,2.0,470.0,195500,2010-06-01,12,12,11-30,2530.0,3000.0,2.5,77.27272727272727,15180.0,Summer,3,3.0,5,4,4.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False
120,8,2001,2001,GLQ,1338.0,1338,1338,2,2001.0,Fin,2.0,582.0,213500,2010-04-01,9,9,≤10,2676.0,3258.0,2.0,79.78325859491778,21408.0,Spring,4,4.0,5,4,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
120,8,1992,1992,ALQ,1280.0,1280,1280,2,1992.0,RFn,2.0,506.0,191500,2010-01-01,18,18,11-30,2560.0,3066.0,2.0,74.8046875,20480.0,Winter,4,4.0,5,4,0.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
120,8,1995,1996,GLQ,1595.0,1616,1616,2,1995.0,RFn,2.0,608.0,236500,2010-03-01,15,14,11-30,3211.0,3819.0,2.0,73.65306758019308,25688.0,Spring,4,4.0,5,4,3.0,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
60,7,1999,1999,Unf,994.0,1028,1804,2,1999.0,Fin,2.0,442.0,189000,2010-06-01,11,11,11-30,2798.0,3240.0,2.5,67.5482487491065,19586.0,Summer,3,3.0,4,4,3.0,8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False
